p,min1,max1,min2,max2,name1,name2
0.01000391,159,199,18,67,AQI Data PM10,Weather Data humidity
0.01000391,183,199,18,67,AQI Data PM10,Weather Data humidity
0.01000391,185,199,18,67,AQI Data PM10,Weather Data humidity
0.01000391,191,199,18,67,AQI Data PM10,Weather Data humidity
0.01000391,199,199,18,68,AQI Data PM10,Weather Data humidity
0.01000391,159,200,63,67,AQI Data PM10,Weather Data humidity
0.01000391,183,200,63,67,AQI Data PM10,Weather Data humidity
0.01000391,185,200,63,67,AQI Data PM10,Weather Data humidity
0.01000391,191,200,63,67,AQI Data PM10,Weather Data humidity
0.01000391,199,200,63,67,AQI Data PM10,Weather Data humidity
0.01000391,159,201,18,60,AQI Data PM10,Weather Data humidity
0.01000391,183,201,18,60,AQI Data PM10,Weather Data humidity
0.01000391,185,201,18,60,AQI Data PM10,Weather Data humidity
0.01000391,191,201,18,60,AQI Data PM10,Weather Data humidity
0.01000391,199,201,18,60,AQI Data PM10,Weather Data humidity
0.01000391,201,201,18,65,AQI Data PM10,Weather Data humidity
0.01000391,201,203,64,65,AQI Data PM10,Weather Data humidity
0.01000391,159,205,18,59,AQI Data PM10,Weather Data humidity
0.01000391,183,205,18,59,AQI Data PM10,Weather Data humidity
0.01000391,185,205,18,59,AQI Data PM10,Weather Data humidity
0.01000391,191,205,18,59,AQI Data PM10,Weather Data humidity
0.01000391,199,205,18,59,AQI Data PM10,Weather Data humidity
0.01000391,201,205,18,59,AQI Data PM10,Weather Data humidity
0.010101668,205,205,18,61,AQI Data PM10,Weather Data humidity
0.010069082,207,207,19,61,AQI Data PM10,Weather Data humidity
0.01000391,209,209,18,65,AQI Data PM10,Weather Data humidity
0.01000391,159,211,19,59,AQI Data PM10,Weather Data humidity
0.01000391,183,211,19,59,AQI Data PM10,Weather Data humidity
0.01000391,185,211,19,59,AQI Data PM10,Weather Data humidity
0.01000391,191,211,19,59,AQI Data PM10,Weather Data humidity
0.01000391,199,211,19,59,AQI Data PM10,Weather Data humidity
0.01000391,201,211,19,59,AQI Data PM10,Weather Data humidity
0.01000391,205,211,19,59,AQI Data PM10,Weather Data humidity
0.010069082,211,211,19,61,AQI Data PM10,Weather Data humidity
0.01000391,159,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,183,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,185,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,191,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,199,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,201,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,205,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,211,213,21,59,AQI Data PM10,Weather Data humidity
0.01000391,159,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,183,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,185,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,191,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,199,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,201,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,205,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,211,215,21,58,AQI Data PM10,Weather Data humidity
0.01000391,215,215,21,62,AQI Data PM10,Weather Data humidity
0.01000391,159,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,183,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,185,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,191,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,199,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,201,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,205,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,211,217,22,58,AQI Data PM10,Weather Data humidity
0.01000391,215,217,22,58,AQI Data PM10,Weather Data humidity
0.010101668,217,217,21,61,AQI Data PM10,Weather Data humidity
0.01000391,217,219,21,57,AQI Data PM10,Weather Data humidity
0.01000391,219,219,21,59,AQI Data PM10,Weather Data humidity
0.01000391,217,221,22,57,AQI Data PM10,Weather Data humidity
0.01000391,219,221,22,57,AQI Data PM10,Weather Data humidity
0.010232013,221,221,21,58,AQI Data PM10,Weather Data humidity
0.01000391,217,223,55,57,AQI Data PM10,Weather Data humidity
0.01000391,219,223,55,57,AQI Data PM10,Weather Data humidity
0.010036496,221,223,55,57,AQI Data PM10,Weather Data humidity
0.010036496,223,223,21,53,AQI Data PM10,Weather Data humidity
